gene_id	gene_name	SH_INSM1	SH_INSM2	SH_LacZ1	SH_LacZ2
ENSG00000012232.10	EXTL3	26.119299	24.61419	28.270713	33.568503
ENSG00000012504.15	NR1H4	0	0	0	0
ENSG00000012660.14	ELOVL5	47.940874	56.073161	67.486585	97.647925
ENSG00000012779.12	ALOX5	0.629821	0.087238	0.117875	0
ENSG00000012817.16	KDM5D	0	0.091414	0.029001	0
ENSG00000012822.16	CALCOCO1	61.718564	66.090592	38.745554	26.783645
ENSG00000012963.15	UBR7	20.552906	27.483783	29.712577	42.402522
ENSG00000012983.12	MAP4K5	32.929955	38.000373	32.847973	71.744048
ENSG00000013016.16	EHD3	14.120504	14.188263	16.164882	14.162444
ENSG00000013275.8	PSMC4	162.89806	167.012475	173.988188	129.673789
ENSG00000013288.9	MAN2B2	12.287792	14.568399	8.203445	7.969366
ENSG00000013293.6	SLC7A14	18.875339	19.326779	12.395366	19.281325
ENSG00000013297.12	CLDN11	0.636815	0.116981	0.83191	1.048932
ENSG00000013306.16	SLC25A39	152.3563	151.335099	162.629844	71.698756
ENSG00000013364.19	MVP	42.910497	42.620148	12.476973	6.853962
ENSG00000013374.17	NUB1	77.925858	94.342347	87.274393	95.810531
ENSG00000013375.17	PGM3	32.062698	27.22692	24.194448	33.935015
ENSG00000013392.8	RWDD2A	5.381273	5.209685	3.742009	9.072132
ENSG00000013441.17	CLK1	95.72225	114.87031	96.018523	122.979526
ENSG00000013503.10	POLR3B	3.293208	3.614555	3.580073	6.843597
ENSG00000013523.12	ANGEL1	7.982446	11.773377	7.966156	7.809961
ENSG00000013561.18	RNF14	45.689755	48.766382	22.890313	28.049314
ENSG00000013563.14	DNASE1L1	22.497025	20.270906	11.198283	7.235072
ENSG00000013573.17	DDX11	15.653851	10.07588	39.436611	27.903975
ENSG00000013583.10	HEBP1	11.652638	15.870227	13.186131	12.508798
ENSG00000013588.10	GPRC5A	0.568426	0.452457	2.935562	2.893852
ENSG00000013619.15	MAMLD1	0	0.12677	1.339763	1.861187
ENSG00000013725.14	CD6	0.540395	1.092724	0.346828	0.313816
ENSG00000013810.21	TACC3	14.009548	12.650085	40.660769	39.911745
ENSG00000014123.10	UFL1	7.863483	10.28145	5.262943	16.012805
ENSG00000014138.10	POLA2	2.654393	1.598588	9.797032	11.403787
ENSG00000014164.7	ZC3H3	12.052243	10.708982	11.013774	6.51874
ENSG00000014216.16	CAPN1	81.802077	72.284558	39.285103	38.296904
ENSG00000014257.17	ACP3	0	1.135088	0	0.246331
ENSG00000014641.21	MDH1	192.184	200.774906	213.404729	304.236376
ENSG00000014824.14	SLC30A9	66.076126	71.885888	57.228921	94.010705
ENSG00000014914.21	MTMR11	3.845169	2.826654	5.513431	8.959774
ENSG00000014919.13	COX15	47.751659	55.071909	32.213888	45.125931
ENSG00000015133.20	CCDC88C	7.32335	7.307043	8.759727	17.661024
ENSG00000015153.15	YAF2	17.152259	16.066807	21.383604	36.319678
ENSG00000015171.21	ZMYND11	44.913483	54.065737	48.125257	90.698361
ENSG00000015285.12	WAS	2.340466	2.304639	3.144866	0.152226
ENSG00000015413.10	DPEP1	0	0.246837	0	0.789708
ENSG00000015475.19	BID	19.547094	21.030914	53.396668	30.277947
ENSG00000015479.20	MATR3	237.623822	258.403571	262.298299	403.412281
ENSG00000015520.15	NPC1L1	1.17484	1.309518	2.18018	1.115658
ENSG00000015532.10	XYLT2	24.461791	21.169811	14.189789	9.573773
ENSG00000015568.13	RGPD5	7.247216	9.648885	6.861088	16.768358
ENSG00000015592.17	STMN4	130.583849	118.694449	69.746499	47.536526
ENSG00000015676.18	NUDCD3	94.954471	87.319465	74.295345	76.11606
ENSG00000016082.15	ISL1	98.604551	93.796389	50.64153	63.434298
ENSG00000016391.11	CHDH	0.264494	0.936846	2.571971	2.801037
ENSG00000016402.14	IL20RA	7.48863	8.991374	7.431238	7.754031
ENSG00000016490.16	CLCA1	0	0	0	0
ENSG00000016602.9	CLCA4	0	0	0	0
ENSG00000016864.19	GLT8D1	74.589568	74.289749	63.929357	78.897837
ENSG00000017260.20	ATP2C1	69.701291	66.570027	52.693474	98.662305
ENSG00000017427.17	IGF1	0	0	0	0.169356
ENSG00000017483.16	SLC38A5	0.939305	1.036996	0.50212	1.381089
ENSG00000017797.13	RALBP1	29.060537	30.114334	36.829742	45.427154
ENSG00000018189.13	RUFY3	132.199746	134.201533	75.764109	143.253643
ENSG00000018236.15	CNTN1	124.357339	120.722873	29.413076	62.573518
ENSG00000018280.18	SLC11A1	0.651303	0.620584	0.962749	0.571886
ENSG00000018408.15	WWTR1	2.108146	2.942278	0.806541	3.629858
ENSG00000018510.18	AGPS	32.352632	34.684073	26.610099	60.08326
ENSG00000018607.9	ZNF285CP	0.402483	0.123253	0	0
ENSG00000018610.15	STEEP1	23.221301	25.784903	33.094369	39.262179
ENSG00000018625.15	ATP1A2	0.048596	0	0	0.230598
ENSG00000018699.13	TTC27	9.88662	10.267536	15.468446	28.29245
ENSG00000018869.18	ZNF582	7.095517	4.112017	5.681603	10.076657
ENSG00000019102.12	VSIG2	0.439135	0.104362	0	0.255866
ENSG00000019144.20	PHLDB1	55.770214	49.401608	21.917431	9.973623
ENSG00000019169.11	MARCO	0	0	0	0
ENSG00000019186.10	CYP24A1	0	0.855485	0.454031	0.607478
